1247;16;262,96;4207,36
1519;0;266,05;0
1551;5;845;4225
1559;12;407,77;4893,24
1564;6;1806;10836
1610;1;290;290
1626;4;960;3840
1635;1;486,07;486,07
1649;1;208,28;208,28
2079;4;2177;8708
2839;24;301,17;7228,08
3917;10;508,38;5083,8
3966;1;574;574
3998;12;293,05;3516,6
4021;5;331,4;1657
4090;0;329;0
4130;5;278,98;1394,9
4256;0;927;0
4335;12;427,49;5129,88
4425;2;604;1208
4432;1;367;367
4434;0;500;0
4455;1;428,66;428,66
4477;0;520;0
4697;1;292;292
4731;4;505,3;2021,2
4732;0;497,76;0
4762;1;282;282
5340;15;323,77;4856,55
5440;0;604,28;0
5545;10;586,18;5861,8
5653;2;687;1374
5691;3;759,25;2277,75
5733;11;1014;11154
5981;1;408,66;408,66
6023;0;944;0
6110;6;781,21;4687,26
6239;0;1433;0
6289;0;646;0
6297;15;2000,05;30000,75
6298;3;995;2985
6408;11;2045;22495
6425;11;786,38;8650,18
6452;0;740;0
6927;0;1880;0
6928;0;2195;0
7198;7;266,52;1865,64
7234;1;457;457
7445;6;1140;6840
7810;14;1250,51;17507,14
7863;0;716;0
7955;0;585,54;0
7984;8;1906;15248
8008;8;2319,37;18554,96
8245;10;2111,08;21110,8
8345;0;350;0
8374;17;594,83;10112,11
8440;5;388,97;1944,85
8479;0;790;0
9023;0;765,54;0
9120;18;356,7;6420,6
9121;12;325,06;3900,72
9143;1;750,9;750,9
9180;2;348;696
9202;10;518;5180
9253;6;437,28;2623,68
9289;19;316;6004
9316;8;451,23;3609,84
9317;0;517;0
9349;0;547;0
9443;18;566,73;10201,14
9471;4;655;2620
9497;0;799;0
9501;0;823;0
9502;0;825;0
9513;12;464,18;5570,16
9533;0;519;0
9550;0;830,55;0
9600;1;1110;1110
9601;1;1170;1170
9617;0;668;0
9618;0;323,48;0
9619;0;781;0
9730;7;424,22;2969,54
9738;0;2079;0
9878;0;759;0
9894;0;429;0
9904;9;421,33;3791,97
9916;0;385;0
9981;0;859;0
9982;1;720;720
9991;0;329;0
10026;0;525;0
10027;0;299;0
10028;0;406;0
10096;0;360;0
10128;9;336,48;3028,32
10134;38;362,52;13775,76
10153;0;535;0
10160;0;445;0
10165;11;285,94;3145,34
10166;0;379;0
10194;1;635;635
10217;0;312;0
10245;0;592;0
10249;0;436;0
10250;0;711;0
10251;0;842;0
10281;16;784,45;12551,2
10347;4;1890;7560
10354;1;797,87;797,87
10366;5;369;1845
10389;0;605;0
10390;3;576;1728
10419;0;298;0
10458;19;760,12;14442,28
10632;9;507,9;4571,1
10657;0;2394;0
10675;0;2077;0
10692;1;825;825
10719;1;745;745
10746;0;804,85;0
10803;0;971,67;0
10809;12;485,94;5831,28
10995;0;369;0
10999;0;280;0
11023;0;829;0
11041;4;540;2160
11042;2;441,27;882,54
11043;1;328;328
11049;2;413;826
11052;9;495;4455
11075;0;403;0
11082;0;495;0
11089;3;375;1125
11215;4;427;1708
11227;4;750;3000
11304;11;554,87;6103,57
11346;2;371,84;743,68
11460;5;349,12;1745,6
11497;0;626,24;0
11501;0;265;0
11534;0;332;0
11609;0;739,95;0
11658;0;741,99;0
11659;0;344,01;0
11804;0;790;0
11810;0;518;0
11892;0;651,8;0
11893;3;743,1;2229,3
11905;1;379,03;379,03
11951;0;5120;0
12033;0;838;0
12089;12;821,28;9855,36
12112;8;532,65;4261,2
12142;0;860;0
12228;5;849,57;4247,85
12347;0;750;0
12403;0;329;0
12408;1;880;880
12461;6;822;4932
12553;1;491,47;491,47
12606;8;629,16;5033,28
12668;4;674,53;2698,12
12773;8;604,29;4834,32
12777;4;860;3440
12846;6;625;3750
13109;10;1140;11400
13114;17;505,76;8597,92
13115;14;422,25;5911,5
13188;6;665;3990
13371;10;561,03;5610,3
13456;7;948,95;6642,65
13576;0;637;0
13580;5;393,1;1965,5
13581;16;371,68;5946,88
14596;1;1799;1799
14600;5;792,45;3962,25
14638;12;426,68;5120,16
15154;0;550;0
15171;0;4268;0
15330;0;525,57;0
15433;3;450;1350
15451;2;930,02;1860,04
15469;3;427,26;1281,78
15475;0;250;0
15482;4;520;2080
15491;7;297;2079
15493;0;590;0
15546;0;413;0
15547;4;512;2048
15573;6;372,67;2236,02
15576;6;786,23;4717,38
15612;4;1021,4;4085,6
15621;0;1920;0
15623;21;712,34;14959,14
15679;1;295,63;295,63
15725;4;905;3620
15726;5;625;3125
15810;14;894,36;12521,04
15835;16;441,86;7069,76
15836;2;730;1460
15840;0;3209;0
15869;8;407,92;3263,36
15916;4;554,32;2217,28
15937;8;652,83;5222,64
15942;4;797,34;3189,36
15959;7;450,81;3155,67
16015;3;652;1956
16019;4;501;2004
16174;4;1043,75;4175
