1247;15;259,64;3894,6
1519;0;266,05;0
1551;6;813;4878
1559;10;378,52;3785,2
1564;6;1735;10410
1610;1;290;290
1626;4;910;3640
1635;1;486,07;486,07
1649;1;208,28;208,28
2079;2;2012;4024
2839;30;289;8670
3917;12;494;5928
3966;10;586;5860
3998;24;314,14;7539,36
4021;1;340;340
4090;0;329;0
4130;4;329,74;1318,96
4256;0;927;0
4335;9;446;4014
4425;2;604;1208
4432;1;367;367
4434;0;500;0
4455;1;428,66;428,66
4477;5;550;2750
4697;1;292;292
4731;11;523;5753
4732;0;497,76;0
4762;1;282;282
5340;18;338;6084
5440;0;604,28;0
5545;0;535;0
5653;2;687;1374
5691;4;676;2704
5733;20;895;17900
5981;8;420;3360
6023;0;944;0
6110;3;817;2451
6239;0;1433;0
6289;0;646;0
6297;13;1832;23816
6298;24;913;21912
6408;22;2045;44990
6425;12;783,83;9405,96
6452;0;740;0
6927;0;1880;0
6928;1;2195;2195
7198;8;275;2200
7234;4;457;1828
7445;2;1085;2170
7810;15;1147,25;17208,75
7863;0;716;0
7955;4;585,54;2342,16
7984;17;1906;32402
8008;13;2485;32305
8245;5;1914;9570
8345;1;350;350
8374;1;505,34;505,34
8440;8;411;3288
8479;0;790;0
9023;8;731;5848
9120;12;345,05;4140,6
9121;10;319;3190
9143;1;709;709
9180;4;348;1392
9202;8;489;3912
9253;10;441;4410
9289;13;317,41;4126,33
9316;6;448;2688
9317;0;517;0
9349;0;547;0
9443;10;333;3330
9471;8;520;4160
9497;0;799;0
9501;0;823;0
9502;4;825;3300
9513;12;426;5112
9533;0;519;0
9550;0;830,55;0
9600;3;1110;3330
9601;3;1170;3510
9617;0;668;0
9618;0;323,48;0
9619;0;781;0
9730;1;412,81;412,81
9738;0;2079;0
9878;0;759;0
9894;0;429;0
9904;9;387,35;3486,15
9916;0;385;0
9981;0;859;0
9982;1;720;720
9991;0;329;0
10026;6;525;3150
10027;0;299;0
10028;0;406;0
10096;0;360;0
10128;10;353;3530
10134;3;360,75;1082,25
10153;0;535;0
10160;0;445;0
10165;0;300;0
10166;0;379;0
10194;1;635;635
10217;0;312;0
10245;0;592;0
10249;0;436;0
10250;0;711;0
10251;0;842;0
10281;26;784,33;20392,58
10347;4;1890;7560
10354;1;797,87;797,87
10366;9;372;3348
10389;0;605;0
10390;3;576;1728
10419;0;298;0
10458;12;739,4;8872,8
10632;1;498;498
10657;0;2394;0
10675;0;1998;0
10692;3;825;2475
10719;1;745;745
10746;0;804,85;0
10803;0;971,67;0
10809;6;480,54;2883,24
10995;0;369;0
10999;0;280;0
11023;0;829;0
11041;4;590;2360
11042;8;449;3592
11043;1;328;328
11049;0;369;0
11052;9;495;4455
11075;0;403;0
11082;1;495;495
11089;3;375;1125
11215;4;469;1876
11227;4;750;3000
11304;0;491,14;0
11346;2;371,84;743,68
11460;1;349;349
11497;7;570,5;3993,5
11501;0;265;0
11534;0;332;0
11609;0;739,95;0
11658;0;741,99;0
11659;0;344,01;0
11804;0;790;0
11810;0;518;0
11892;0;651,8;0
11893;5;743,1;3715,5
11905;1;379,03;379,03
11951;0;5120;0
12033;8;838;6704
12089;21;798,21;16762,41
12112;8;532,16;4257,28
12142;0;860;0
12228;0;788;0
12347;0;750;0
12403;2;329;658
12408;8;970;7760
12461;0;780;0
12553;4;491,47;1965,88
12606;6;611;3666
12668;2;714,89;1429,78
12773;7;615;4305
12777;4;961;3844
12846;0;566;0
13109;4;970;3880
13114;4;513;2052
13115;0;422,48;0
13188;6;665;3990
13371;8;568;4544
13456;4;881;3524
13576;5;637;3185
13580;9;391,18;3520,62
13581;6;354;2124
14596;0;0;0
14600;0;0;0
14638;0;0;0
15154;0;0;0
15171;0;0;0
15330;0;0;0
15433;0;0;0
15451;0;0;0
15469;0;0;0
15475;0;0;0
15482;0;0;0
15491;0;0;0
15493;0;0;0
15546;0;0;0
15547;0;0;0
15573;0;0;0
15576;0;0;0
15612;0;0;0
15621;0;0;0
15623;0;0;0
15679;0;0;0
15725;0;0;0
15726;0;0;0
15810;0;0;0
15835;0;0;0
15836;0;0;0
15840;0;0;0
15869;0;0;0
15916;0;0;0
15937;0;0;0
15942;0;0;0
15959;0;0;0
16015;0;0;0
16019;0;0;0
16174;0;0;0
